Title,Company,Rating,Review,Experience,Location,Salary,Description,Skills
MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,3.8,,2-5 Yrs,Bangalore/Bengaluru,Not disclosed,"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NL...","['Trainingdeep', 'learningtableaudata', 'scienceCodingAnalyticalMachine', 'learningSubject', 'Matter', 'Expert']"
Associate Scientist- Data Science,Axa Technology Services,4.1,,3-7 Yrs,Gurgaon/Gurugram,Not disclosed,". Proficiency in end-to-end model development, validation and model implementation for ...","['data', 'scienceUnderwritingFinanceMachine', 'learningAgileManager', 'TechnologyActuarialNatural', 'language', 'processing']"
Junior Software Engineer - Data Science,LogiNext,3.4,,0-1 Yrs,Mumbai,Not disclosed,"Bachelors degree or higher in Computer Science, Information Technology, Information Sys...","['Cloud', 'computingData', 'managementData', 'modelingMachine', 'learningBusiness', 'intelligenceData', 'miningInformation', 'technologySQL']"
Principal Analyst - Data Science,Factspan Analytics,3.5,,6-10 Yrs,"Hybrid - Bangalore/ Bengaluru, Karnataka",Not disclosed,"Expertise in model validation, hyperparameter tuning, and model selection techniques su...","['pythonMachine', 'learningData', 'sciencesqltime', 'seriesstatistical', 'modellingDataData', 'analysis']"
Marketing Analyst - Data Science,,,,12-15 Yrs,"Noida, Pune, Bangalore/Bengaluru",Not disclosed,"Market Mix modeling ( MMM) , Media Mix, Funnel Analysis , Campai...","['Marketing', 'analyticsdata', 'scienceBfsiSales', 'analyticsSales', 'forecastingHealthcareE-commerceMarketing', 'Analyst']"
Senior Product Manager - Data Science & AI,Icertis,3.6,,12-15 Yrs,Pune,Not disclosed,ICI is a highly configurable platform and is one of the key selling points of Icertis s...,"['Product', 'managementBusiness', 'processERPProduct', 'engineeringCompetitive', 'analysisMachine', 'learningManagement', 'consultingMarket', 'research']"
Senior Manager - Data Science,AMERICAN EXPRESS,4.3,,4-8 Yrs,Gurgaon/Gurugram,Not disclosed,"Academic Background: . MBA, Master s Degree In Machine Learning, Computer Science, Stat...","['Text', 'miningCareer', 'developmentCodingAnalyticalMachine', 'learningmodel', 'developmentRisk', 'managementPython']"
Senior Consultant - Data Science & Analytics (Data Analyst),Softcrylic Technology Solutions India,3.3,,5-10 Yrs,"Chennai, Remote",Not disclosed,Experience in working on Data and Statistical AnalysisExperience in Tableau development...,"['Data', 'ScienceHypothesis', 'testingTableauStatistical', 'AnalysisSQLSoftware', 'testingAnalysisSenior']"
Data Science Engineer || GCP || Immediate Joiner,Conneqt Digital,3.7,,4-7 Yrs,Bangalore/Bengaluru,Not disclosed,"Qualifications & Experience: . Bachelors degree in computer science, statistics, or a r...","['Data', 'SciencevertexgcpArtificial', 'Intelligencemachine', 'learningpythonData', 'Flowstatistical', 'modeling']"
Senior/Lead - Data Science(Regression) - Bangalore,Tiger Analytics,3.5,,2-7 Yrs,Bangalore/Bengaluru,Not disclosed,"Role & responsibilities . Must Have Skills : Regression, Python . Good to have : Custom...","['Data', 'ScienceRegressionModel', 'BuildingPythonPricing', 'AnalyticsTime', 'SeriesCustomer', 'AnalyticsMarketing', 'Analytics']"
Manager Data Science,Publicis Resources,3.7,,9-12 Yrs,"Pune, Maharashtra, Gurgaon/ Gurugram, Haryana, Bangalore/ Bengaluru, Karnataka",3.25-4.25 Lacs PA,Author Technical blogs both internally and externally and evangelize the Team s efforts...,"['RnnRegressoinKnnMachine', 'LearningDeep', 'LearningCNNClassificationMlops']"
Manager - Data Science,Themathcompany,2.8,,7-10 Yrs,Bangalore/Bengaluru,Not disclosed,". An undergraduate degree in engineering, statistics, mathematics, computer science, or...","['Computer', 'scienceData', 'analysisOperations', 'researchManager', 'Quality', 'AssuranceCodingProject', 'managementMS', 'OfficePowerpoint']"
Data Science Manager,Coders Brain Pvt Ltd,3.8,,5-9 Yrs,Kolkata,Not disclosed,. D) Other Information . Educational Qualifications Master s / Bachelor s degree in Com...,"['Solution', 'designStatistical', 'modelingdata', 'scienceMachine', 'learningData', 'processingConsultancyStatisticsAnalytics']"
"Manager, Data Science",Mondelez,4.4,,6-11 Yrs,Mumbai,Not disclosed,". Education / Certifications: Bachelor s or Master s in Computer Science, Engineering, ...","['C++Software', 'designCodingAnalyticalPackagingJavascriptData', 'miningAnalytics']"
Data Science Lead,Pfizer,4.1,,5-7 Yrs,Mumbai,Not disclosed,". Bachelors degree with a minimum of 5 years experience in Data Science, Analytics or r...","['Data', 'analysisSASFinancial', 'analysisProcess', 'improvementHealthcareCustomer', 'supportCustomer', 'serviceAnalytics']"
Data Science and Research Vice President - Mumbai,Msci,4.0,,8-13 Yrs,"Hybrid - Mumbai Suburban, Maharashtra",Not disclosed,Your team responsibilitiesMSCI is looking for an exceptional individual to join the Da...,"['Data', 'ScienceResearchDataScience']"
Data Science Lead,Essenware,4.6,,10-12 Yrs,Hyderabad/Secunderabad,Not disclosed,Good experience of EDA on Commercial Datasets Time series analy...,"['Data', 'analysisdata', 'scienceTime', 'series', 'analysisPharmaHealthcareDeploymentmodel', 'developmentData', 'processing']"
Manager - Data Science,AMERICAN EXPRESS,4.3,,4-8 Yrs,Gurgaon/Gurugram,Not disclosed,"Academic Background: . MBA, Masters Degree In Machine Learning, Computer Science, Stati...","['Text', 'miningCareer', 'developmentCodingAnalyticalMachine', 'learningmodel', 'developmentRisk', 'managementPython']"
Data Science Analyst,,,,1-3 Yrs,Hyderabad/Secunderabad,Not disclosed,"Proficient in a structured programming language is a must - such as python, R is mandatory","['data', 'scienceSenior', 'AnalystAnalyticalProgrammingAnalyticsPythonseniordata']"
Business & Data Science Analyst,Bairesdev Llc,3.5,,3-6 Yrs,Remote,Not disclosed,+3 years of experience in Business Intelligence. - +2 years of experience in an analyti...,"['Automationdata', 'scienceSenior', 'AnalystData', 'modelingResearchBusiness', 'intelligenceAnalyticsscience']"
Senior Data Science Engineer,,,,6-10 Yrs,Bangalore/Bengaluru,Not disclosed,6-10 Years of experience . Past Experience building data analytics pipelines . Good kno...,"['C++Data', 'structuresCustomer', 'serviceBusiness', 'intelligenceSecurity', 'operationsVMSSQLLogistics']"
Data Science/Analyst,,,,2-5 Yrs,New Delhi,Not disclosed,"Direct Work experience with Python, Software Development for Data Analytics can be subs...","['Computer', 'scienceData', 'analysisUsageDebuggingSystem', 'programmingData', 'collectionHypothesis', 'Testinghr', 'solutions']"
Senior Software Engineer - Data Science,,,,5-7 Yrs,Bangalore/Bengaluru,Not disclosed,5 years of professional experience in experiment design and applied machine learning pr...,"['data', 'scienceCodingStaffingMachine', 'learningTechnical', 'leadershipmodel', 'developmentResident', 'ExpertStatistics']"
Data Science Lead,MothersonSumi INfotech & Designs (MIND),3.3,,6-10 Yrs,"Noida, Uttar Pradesh",Not disclosed,Job Description:We are looking for an experienced and motivated Data Scientist to join ...,"['Machine', 'LearningDeep', 'LearningData', 'ScienceMatplotlibpythonArtificial', 'Intelligencedata', 'miningStatistics']"
Data Science Trainer,Madrid Software,3.7,,1-2 Yrs,"New Delhi, Delhi(Saket)",3-5 Lacs PA,"Bachelors degree in Data Science, Computer Science, or a related fieldProven experience...","['Data', 'ScienceMachine', 'LearningDeep', 'LearningPower', 'BiArtificial', 'IntelligenceSQLTrainingScience']"
Lead Data Science,Mahindra Mahindra Financial Services Ltd,4.3,,3-7 Yrs,Mumbai,Not disclosed,Most important: Work experience of leading and delivering Data Science projects to clients,"['Supply', 'chainSocial', 'media', 'analyticsMalayalamdata', 'scienceConsultingMachine', 'learningcxoProject', 'delivery']"
VP - Data Science,Info Edge,4.1,,11-17 Yrs,"Noida, Uttar Pradesh",Not disclosed,Role & responsibilities Responsible for mentoring and managing large Data science team...,"['Artificial', 'IntelligenceNatural', 'Language', 'ProcessingMachine', 'LearningDeep', 'LearningInformation', 'Extractionfeature-learning.Market', 'Intelligencesearch']"
"Executive Manager, Data Science",BNY Mellon,4.1,,15-20 Yrs,Pune,Not disclosed,". Advanced degree in computer science or a related discipline, or equivalent work exper...","['Executivedata', 'sciencedataexecutive', 'managementsciencemanagement']"
Head Data Science - ONLY Immediate Joiners,,,,12-22 Yrs,"Noida, Uttar Pradesh, Delhi / NCR",35-55 Lacs PA,ONLY Immediate Joiners Skill - Data Science & Python (MUST),"['Data', 'SciencePythonTensorflowData', 'EngineeringData', 'StrategyGenerative', 'AINatural', 'Language', 'ProcessingKafka']"
