Title,Company,Rating,Review,Experience,Location,Salary,Description,Skills
Data Science Engineer 1,Copeland,4.1,,2-3 Yrs,Pune,Not disclosed,Basic understanding of machine learning algorithms from Sckit-learn and statistical alg...,"['Web', 'technologiesdata', 'scienceNeural', 'networksMachine', 'learningjenkinsCalculusPythonmicroservices']"
Data Science Solution Engineer,,,,1-3 Yrs,Gurgaon/Gurugram,Not disclosed,. . . Design and build data solutions for data science projects using cloud based big d...,"['C++data', 'scienceMachine', 'learningAgileData', 'processingData', 'qualityData', 'miningSQL']"
Data Science Engineer,QiO,1.0,,10-15 Yrs,Pune,Not disclosed,Bachelor s Degree in an Engineering discipline is a must AI\ML\Analytics Certification ...,"['IT', 'SkillsData', 'ScienceCloudBig', 'DataSupply', 'chain', 'managementNetworkingArtificial', 'IntelligenceMachine', 'learning']"
Data Science Engineer,Copeland,4.1,,1-7 Yrs,Pune,Not disclosed,DevOps experience and mindset are a big plusMinimum of 1-year experience in building mi...,"['System', 'architectureData', 'analysisWeb', 'servicesNeural', 'networksXMLAnalyticalMachine', 'learningData', 'processing']"
BigData/Data Science Engineer,Quantta Analytics Pvt Ltd.,3.0,,4-8 Yrs,Pune,Not disclosed,"Deep understanding of technology and major trends including Hadoop, Python, R . Experie...","['Interpersonal', 'skillsStatistical', 'analysisdata', 'scienceHadoopApacheOpen', 'sourceData', 'miningbig', 'data']"
Data Science Engineer,Consilium Software,2.5,,2-5 Yrs,New Delhi,Not disclosed,Skills Required: . Understanding of NLU / NLP . One should be familiar with regression ...,"['data', 'scienceData', 'modelingArtificial', 'IntelligenceMachine', 'learningData', 'structuresOracleCustomer', 'engagementcisco']"
Software Engineer - Data Science,LogiNext,3.4,,2-3 Yrs,Mumbai,Not disclosed,"Requirements: . Bachelors degree or higher in Computer Science, Information Technology,...","['Cloud', 'computingOperations', 'researchData', 'managementData', 'modelingAnalyticalData', 'miningBusiness', 'intelligenceInformation', 'technology']"
Data Science Engineer 1,Emerson,4.2,,2-3 Yrs,Pune,Not disclosed,Basic understanding of machine learning algorithms from Sckit-learn and statistical alg...,"['Web', 'technologiesdata', 'scienceNeural', 'networksMachine', 'learningjenkinsCalculusPythonmicroservices']"
"Tech Manager, Data Science",,,,12-15 Yrs,Pune,Not disclosed,12+ years of experience in Software Industry . At least 3+ years experience in managing...,"['Computer', 'sciencePower', 'houseWeb', 'servicesdata', 'sciencePeople', 'management', 'skillsFinanceCloudResearch']"
Manager Data Science,Innominds Software,3.2,,10-15 Yrs,Hyderabad/Secunderabad,Not disclosed,The position demands a flair for research and innovation in identifying new techn...,"['Business', 'processTelecomSASMachine', 'learningAlgorithm', 'developmentHealthcareOpen', 'sourceData', 'mining']"
Manager Data Science,,,,10-20 Yrs,Hyderabad/Secunderabad,Not disclosed,"Responsibilities . Design through a team, a data science/ AI solution to a customer s r...","['Business', 'processTelecomSASMachine', 'learningAlgorithm', 'developmentHealthcareOpen', 'sourceData', 'mining']"
Data Science Team Manager,Circle K Stores Inc,4.5,,4-7 Yrs,Gurgaon/Gurugram,Not disclosed,"Qualifications and experience . Bachelordegree required, preferably with a quantitative...","['Supply', 'chainData', 'analysiscustomer', 'analyticsCodingBusiness', 'analyticsAnalyticalMySQLData', 'mining']"
"Manager, Data Science",Mondelez,4.4,,4-8 Yrs,Mumbai,Not disclosed,. What you will bring . A desire to drive your future and accelerate your career and th...,"['C++Software', 'designCodingAnalyticalPackagingJavascriptData', 'miningAnalytics']"
Data Science Trainer,INFOWIZ,3.9,,1-3 Yrs,Chandigarh,Not disclosed,Educational Qualification . Any Graduate . Job Responsibilities . Work with stakeholder...,"['Usagedata', 'sciencePredictive', 'modelingBusiness', 'solutionsRevenue', 'generationTestingModelingTraining']"
Data Science Professional,Coders Brain Pvt Ltd,3.8,,2-6 Yrs,Gurgaon/Gurugram,Not disclosed,"BE / Tech in Engineering, Masters / PhD candidates preferred . Strong background in str...","['Data', 'analysisdata', 'scienceBusiness', 'analysisDjangoMachine', 'learningApplication', 'developmentData', 'qualityAnalytics']"
Associate Vice President - Data Science,LogiNext,3.4,,11-14 Yrs,Mumbai,Not disclosed,Adapting and enhancing machine learning techniques based on physical intuition abo...,"['Cloud', 'computingData', 'analysisSASData', 'modelingPHPPerlApacheData', 'mining']"
Data Science Manager,,,,2-7 Yrs,Trivandrum/Thiruvananthapuram,Not disclosed,- Overall years of experience: 8+ years of experience in Statistical and Machine learni...,"['data', 'scienceDjangoMachine', 'learningAgileOpen', 'sourceData', 'miningForecastingAutomotive']"
Data Science Manager,Technovert,3.7,,8-9 Yrs,Hyderabad/Secunderabad,Not disclosed,Must have developed custom data models and algorithms to apply to data sets Should have...,"['IT', 'servicesText', 'miningData', 'analysisdata', 'scienceRFSimulationData', 'miningLicensing']"
Data Science Manager,Technovert,3.7,,8-12 Yrs,Hyderabad/Secunderabad,Not disclosed,Must have developed custom data models and algorithms to apply to data sets Should have...,"['IT', 'servicesText', 'miningData', 'analysisdata', 'scienceRFSimulationData', 'miningLicensing']"
Data Science Manager,Technovert,3.7,,9-12 Yrs,Hyderabad/Secunderabad,Not disclosed,Must have developed custom data models and algorithms to apply to data sets Should have...,"['Data', 'Science', 'Managersciencedatamanagementdata', 'science']"
Data Science Lead,Buckman,3.7,,8-9 Yrs,Chennai,Not disclosed,"Bachelor s degree in a quantitative field such as Data Science, Statistics, Applied Mat...","['Water', 'treatmentC++data', 'scienceAnalyticalData', 'miningCosmosMATLABAnalytics']"
"Assistant Manager, Data Science",GXO Logistics,3.8,,2-12 Yrs,Mumbai,Not disclosed,Bachelor s degree in Engineering . . 8 to 12 years of experience in Supply Chain and lo...,"['GISdata', 'scienceHadoopSupply', 'chain', 'solutionsManager', 'TechnologyManagementPentahoAnalytics']"
Data Science Trainer,Imagecon India,5.0,,2-5 Yrs,Salem,Not disclosed,*Deploy classroom and practical training aligned to industry requirements in Data Sc...,"['Analytical', 'skillsTechnical', 'trainingQuality', 'standardsPDFdata', 'scienceMachine', 'learningProgrammingPredictive', 'analytics']"
